Name,Sail no.,Type,Design,Designer,Region
10 Speed,T847,Trailer Yacht,,J Davies,
12 Guage,T3541,Trailer Yacht,Young 7,Jim Young,
12 Moons,9882,Keelboat,Hanse 545,Judel / vrolijk & Co,
123k3,,Other,Unknown,,
1H571,L1867,Launch,,Sea Farrier,
2 Double X,T4024,Trailer Yacht,,Val Chubb,
2 Low 4 Zero,5536,Keelboat,Farr 9.2,Bruce Farr,Wellington
2 Of 10,9466,Multi-hull,Catamaran,Tom Rolland,
2 To Tango,9508,Multi-hull,Snowbird Catamaran,Pelin,
20/20,20120,Keelboat,Unknown,,
36 South,6064,Keelboat,Farr 11.6,Bruce Farr,
38 Special,8338,Keelboat,Bakewell-White 11.5,Bakewell-White,
4 Fox Sake,9143,Keelboat,Platu 25,Bruce Farr Yacht Design,Auckland
42Nd Street,6359,Keelboat,Davidson 42,Laurie Davidson,Auckland
44 Magnum,4431,Keelboat,Young 10,Jim Young,
46 South,T46,Trailer Yacht,,Honey/Trethewey,
75% Polyester,T2599,Trailer Yacht,,Bruce Farr,
750 GameFisher,L9613,Launch,Power Boat,Surtees,Canterbury
8:30 Special,T3441,Trailer Yacht,Ross 830,Murray Ross,
830 News,383,Keelboat,Ross 830,Murray Ross,Nelson/Marlborough
88% Proof,6728,Keelboat,Young 88,Jim Young,Wellington
9,2421,Keelboat,,Elliott/Wright,
950,T4212,Trailer Yacht,Etchells,Besiford Builders Australia,
A,T29,Trailer Yacht,Gazelle 24,T Adams,
A Cappella,10056,Keelboat,Valiant 42,Robert Perry,
A Moonshadow,T3372,Trailer Yacht,Monarch 17,Alan Wright,
A Southern Man - Agd,8981,Keelboat,,Greg Elliot,
A Taste Of Honey,T3376,Trailer Yacht,Noeleda,Noel Honey,
Aagathis,4692,Keelboat,Townson 25,D T Townson,
Aalita,5106,,,Des Townson,
Abacus,T3151,Trailer Yacht,,TretheweyMarten,
Abacus,3423,,H 28,L F Herreshoff,
Abalone,L1333,,,,
Abel,T69,Trailer Yacht,Tasman 20,Alan Wright,
Abientot,8806,Keelboat,Beneteau Oceanis 370,Beneteau,Auckland
Abigail,T1915,Trailer Yacht,Coronet 20,John Brooke,
Abinitio,9256,Keelboat,Elliott 7,Greg Elliott,Auckland
Able Tasman,T1508,Trailer Yacht,,Alan Wright,
Able Tasman,2934,Keelboat,,Alan Wright,
About Now,T3209,Trailer Yacht,,Tretheway/Honey,
About Time,5673,Keelboat,Davidson 28,Laurie Davidson,
About Time II,9644,Keelboat,Hanse,Judel/Vrolijk & Co,
Abracadabra,5125,Keelboat,Davidson 28,Laurie Davidson,Auckland
Abracadabra II,8365,Keelboat,Young 88,Jim Young,Auckland
Abscondor,5822,,Marauder,Alan Wright,
Absolut,8824,Keelboat,Bavaria 38,J&J Design,Auckland
Absolut Leisure,8826,Keelboat,Leisure 42,Alex Simonis,
Absolute,4957,Keelboat,,C Robertson,
Absolutely,L9622,Launch,Unknown,Carver,
Absque Labor Nil,T1537,Trailer Yacht,,R Hartley,
Abuelo,4875,,,P Bold,
Aburoc,T1053,Trailer Yacht,Gazelle 24,,
Acali,2890,Keelboat,Townson 32,Des Townson,
Acamar,9293,Keelboat,Easterly,Smith (Easterley 30),
Acapulco Gold,4170,,,Des Townson,
Accalon,T1233,Trailer Yacht,,,
Access,9923,Keelboat,Multichine 28,Roberto Barros,
Acclaim,5151,Keelboat,Farr 11.6,Bruce Farr,
Accolade,2248,,Cavalier 39,R Salthouse,
Accolade II,3533,,,John Spencer,
Accord,5337,Keelboat,,Alan Wright,
Accord,L1000,,,R Salthouse,
Ace,4929,Keelboat,,Sandy Jones,
Ace High,T1190,Trailer Yacht,,Given,
Ace High,2879,,Variant,Alan Wright,
Ace II,5945,Keelboat,,Laurie Davidson,
Aces High,8315,,,I Vickers,
Achates,2161,Keelboat,North Sea 24,Kim Holman,East Coast NI
Achates II,4250,Keelboat,Young 43,Jim Young,
Achernar,T1171,Trailer Yacht,,Honey/Trethewey,
Achernar,66,Keelboat,Stewart 42,R L Stewart,
Achernar II,T1860,Trailer Yacht,,,
Achernaries,4245,,H 28,L F Herreshoff,
Acheron,T1395,Trailer Yacht,,Alan Wright,
Achiever,6541,,,Birdsall,
